255,202,40,195,182,60
255,193,7,255,233,47
255,160,0,235,180,20
255,143,0,235,163,20
255,151,20,240,166,35
255,196,0,255,236,40
255,171,0,255,211,0
33,150,243,33,130,203
30,136,229,70,176,249
25,118,210,65,138,210
21,101,192,61,141,232
13,71,161,33,111,201
0,188,212,40,228,252
0,172,193,20,212,233
0,151,167,40,151,167
0,131,143,40,151,143
0,96,100,20,116,120
0,229,255,40,209,215
0,184,212,20,164,192
255,138,101,255,178,121
255,112,67,235,152,87
255,87,34,235,127,74
244,81,30,204,101,50
230,74,25,250,134,65
216,67,21,216,107,61
2,136,209,42,136,169
2,119,189,62,159,229
1,87,155,41,87,115
0,176,255,60,196,235
0,145,234,20,145,214
255,167,38,255,207,78
255,152,0,255,192,40
251,140,0,251,180,40
245,124,0,245,164,40
239,108,0,219,128,20
255,145,0,255,185,40
240,98,146,240,138,166
236,64,122,216,104,142
233,30,99,213,70,119
216,27,96,176,67,96
194,24,91,174,44,91
173,20,87,213,60,127
136,14,79,136,54,99
255,64,129,215,84,129
171,71,188,171,91,208
224,64,251,164,64,191
213,0,249,173,20,189
229,115,115,249,155,155
239,83,80,239,123,120
244,87,74,229,102,89
229,57,53,189,77,73
211,47,47,231,87,87
198,40,40,238,100,80
203,68,48,188,83,63
255,82,82,255,122,122
253,60,40,238,75,55
