255,202,40,255,222,80
255,193,7,255,213,47
255,160,0,215,160,40
255,143,0,195,123,40
255,111,0,235,111,40
255,196,0,215,176,40
255,171,0,255,191,40
33,150,243,73,170,243
30,136,229,50,136,229
25,118,210,25,118,190
61,121,192,66,126,187
53,111,161,68,126,176
0,188,212,40,228,252
0,172,193,40,212,233
20,151,167,15,156,172
40,131,143,55,136,148
0,116,120,15,121,125
20,189,195,25,194,210
0,184,212,0,204,232
195,138,101,190,153,116
255,172,107,240,177,122
235,127,74,240,142,89
244,81,30,244,121,70
230,134,65,225,139,80
194,107,41,179,112,56
2,136,209,62,176,249
62,119,169,47,114,164
61,107,135,76,122,150
0,176,255,20,156,215
40,145,214,45,150,229
255,167,38,255,187,78
235,172,40,240,187,55
251,140,0,231,160,0
245,124,0,245,144,0
239,108,0,239,128,0
255,145,0,255,165,40
240,98,146,240,138,146
196,104,102,191,109,117
253,90,119,238,95,124
236,87,96,241,102,111
194,84,91,199,99,106
193,80,107,198,85,122
136,54,79,141,69,94
235,104,129,230,99,134
171,71,188,171,91,188
253,60,249,248,45,254
